Date_Vente,Facture,Marque,Km,Année,PA HT,Frais,PV HT,PV TTC,Marge Nette HT,Marge %,Jours Stock
12/06/2025,1000006,FOCUS,2780.0,2020,1245.0,107.64,1873.33,1999.0,520.69,27.79,13
13/06/2025,1000008,O2 FEEL,3800.0,2022,681.67,17.78,701.67,842.0,2.22,0.32,85
19/06/2025,1000010,O2 FEEL,0.0,2021,680.71,0.0,823.33,988.0,142.62,17.32,91
01/07/2025,1000014,FANTIC,0.0,2025,2438.93,0.0,2749.17,3299.0,310.24,11.28,53
01/07/2025,1000015,FANTIC,0.0,2025,2466.5,0.0,2582.5,3099.0,116.0,4.49,12
03/07/2025,1000016,CANNONDALE,1077.0,2024,3013.0,89.6,3293.0,3349.0,190.4,5.78,55
17/07/2025,1000017,FANTIC,0.0,2024,2230.48,0.0,1353.33,1624.0,-877.15,-64.81,69
17/07/2025,1000018,FANTIC,0.0,2025,2430.0,0.0,1365.0,1638.0,-1065.0,-78.02,69
01/08/2025,1000024,FANTIC,50.0,2025,2093.5,0.0,2249.17,2699.0,155.67,6.92,43
05/09/2025,1000025,ORBEA,896.0,2022,2500.0,166.63,3083.33,3200.0,416.7,13.51,43
23/09/2025,1000028,MARIN,0.0,2024,1013.54,0.0,1400.0,1680.0,386.46,27.6,0
25/09/2025,1000030,MOUSTACHE,4174.0,2022,2100.0,235.85,2682.5,2799.0,346.65,12.92,105
21/10/2025,1000038,FANTIC,58.0,2025,2463.3,0.0,2082.5,2499.0,-380.8,-18.29,165
28/10/2025,1000043,LAPIERRE,1549.0,2020,1200.0,27.55,1699.17,1799.0,471.62,27.76,18
04/11/2025,1000045,CUBE,2558.0,2022,2050.0,75.65,2508.33,2600.0,382.68,15.26,60
01/12/2025,1000053,HAIBIKE ,1023.0,2021,1165.83,167.31,1000.0,1200.0,-333.14,-33.31,133
03/12/2025,1000054,CUBE,2558.0,2022,2050.0,75.65,2507.5,2599.0,381.85,15.23,89
03/12/2025,1000055,NEOMOUV,575.0,2024,300.0,0.0,388.33,406.0,88.33,22.75,6
10/12/2025,1000056,FANTIC,136.0,2024,2463.3,65.8,1624.17,1949.0,-904.93,-55.72,215
15/12/2025,1000057,MARIN,391.0,2024,2135.94,0.0,1540.83,1849.0,-595.11,-38.62,213
07/01/2026,1000062,ROTWILD,1974.0,2022,2500.0,177.23,1999.0,1999.0,-678.23,-33.93,166
13/01/2026,1000063,HAIBIKE,320.0,2021,1165.83,51.23,0.0,1199.0,0.0,0.0,176
15/01/2026,1000064,MOUSTACHE,1487.0,2021,1600.0,224.13,2183.33,2300.0,359.2,16.45,23
16/01/2026,1000065,O2FEEL,4182.0,2019,850.0,168.73,1182.5,1249.0,163.77,13.85,70
20/01/2026,1000066,DECATHLON,6054.0,2024,1008.0,148.7,1667.17,1799.0,510.47,30.62,5
26/01/2026,1000067,HAIBIKE,41.0,2026,1588.0,0.0,2430.5,2599.0,842.5,34.66,6
11/02/2026,1000069,MARIN,0.0,2024,1540.24,0.0,1790.83,2149.0,250.59,13.99,54
12/02/2026,1000070,MARIN,0.0,2024,1290.24,0.0,1540.83,1849.0,250.59,16.26,28
12/02/2026,1000071,GIANT,1130.0,2022,2500.0,119.21,2832.5,2899.0,213.29,7.53,56
13/02/2026,1000072,CUBE,2488.0,2023,1919.0,252.0,2694.0,2849.0,523.0,19.41,8
18/02/2026,1000074,HAIBIKE,638.0,2021,1199.0,0.0,1199.0,1199.0,0.0,0.0,29
18/02/2026,1000073,O2FEEL,1243.0,2021,750.0,5.4,1040.83,1099.0,138.23,13.28,33
02/03/2026,1000076,BERGAMONT,2407.0,2022,1180.0,166.2,1945.83,2099.0,599.63,30.82,4
05/03/2026,1000077,CUBE,0.0,2023,1673.33,0.0,2083.33,2500.0,410.0,19.68,4
13/03/2026,1000078,MARIN,0.0,2025,1790.2,0.0,2249.17,2699.0,458.97,20.41,17
30/03/2026,1000080,FOCUS,50.0,2024,2300.0,0.0,2424.17,2449.0,124.17,5.12,23
31/03/2026,1000081,MARIN,0.0,2025,570.59,0.0,749.17,899.0,178.58,23.84,4
31/03/2026,1000082,ORBEA,5929.0,2021,1553.0,177.03,1925.5,2000.0,195.47,10.15,41
08/04/2026,1000086,LAPIERRE,945.0,2024,2693.0,185.59,3198.83,3300.0,320.24,10.01,14
10/04/2026,1000087,FOCUS,0.0,2024,1833.33,0.0,2082.5,2499.0,249.17,11.96,32
16/04/2026,1000088,LAPIERRE,4.0,2025,1100.0,0.0,1599.17,1699.0,499.17,31.21,7
17/04/2026,1000092,CONWAY,0.0,2026,2058.48,0.0,2408.33,2890.0,349.85,14.53,0
17/04/2026,1000091,CONWAY,0.0,2026,2058.48,0.0,2408.33,2890.0,349.85,14.53,0
17/04/2026,1000090,MARIN,0.0,2025,487.7,0.0,690.83,829.0,203.13,29.4,7
18/04/2026,1000093,HAIBIKE,638.0,2021,1000.0,0.0,1006.67,1008.0,6.67,0.66,1
29/04/2026,1000096,MARIN,0.0,2025,470.81,0.0,665.83,799.0,195.02,29.29,5
