Marque,Année_Velo,Kilométrage,Prix Vente (€),Prix Neuf (€),Année de la vente,Mois de la vente,Age du vélo,Décôte/neuf (%),Lien,Source,Date_Scan
Focus,2020.0,2780,1999.0,4399.0,2025.0,June,5.0,54.6,5,Sheet_Données de ventes internes,01/06/2025
O2,2022.0,3800,842.0,2399.0,2025.0,June,3.0,64.9,3,Sheet_Données de ventes internes,01/06/2025
O2,2021.0,460,988.0,2099.0,2025.0,June,4.0,52.9,4,Sheet_Données de ventes internes,01/06/2025
Focus,2020.0,2780.0,1999.0,4399.0,2025.0,June,5.0,54.6,,EBR Ventes,12/06/2025
Fantic,2025.0,0.0,3299.0,5699.0,2025.0,July,0.0,42.1,,EBR Ventes,01/07/2025
Fantic,2025.0,0.0,3099.0,5399.0,2025.0,July,0.0,42.6,,EBR Ventes,01/07/2025
Fantic,2025.0,0.0,3099.0,5399.0,2025.0,July,0.0,42.6,,EBR Ventes,01/07/2025
Fantic,2024.0,120,1624.0,4799.0,2025.0,July,1.0,66.2,1,Sheet_Données de ventes internes,01/07/2025
Fantic,2025.0,0.0,3299.0,5699.0,2025.0,July,0.0,42.1,,EBR Ventes,01/07/2025
Fantic,2025.0,5,3099.0,5399.0,2025.0,July,0.0,42.6,0,Sheet_Données,01/07/2025
Fantic,2025.0,5,1638.0,4799.0,2025.0,July,0.0,65.9,0,Sheet_Données de ventes internes,01/07/2025
Fantic,2025.0,5,3299.0,5699.0,2025.0,July,0.0,42.1,0,Sheet_Données,01/07/2025
Cannondale,2024.0,1077,3349.0,6599.0,2025.0,July,1.0,49.2,1,Sheet_Données,01/07/2025
Cannondale,2024.0,1077.0,3349.0,6599.0,2025.0,July,1.0,49.2,,EBR Ventes,03/07/2025
Cannondale,2024.0,1077.0,3349.0,6599.0,2025.0,July,1.0,49.2,,EBR Ventes,03/07/2025
Fantic,2025.0,0.0,1638.0,4799.0,2025.0,July,0.0,65.9,,EBR Ventes,17/07/2025
Fantic,2024.0,0.0,1624.0,4799.0,2025.0,July,1.0,66.2,,EBR Ventes,17/07/2025
Fantic,2025.0,0.0,1638.0,4799.0,2025.0,July,0.0,65.9,,EBR Ventes,17/07/2025
Fantic,2024.0,0.0,1624.0,4799.0,2025.0,July,1.0,66.2,,EBR Ventes,17/07/2025
Fantic,2025.0,50,2699.0,4499.0,2025.0,August,0.0,40.0,0,Sheet_Données,01/08/2025
Fantic,2025.0,50.0,2699.0,4499.0,2025.0,August,0.0,40.0,,EBR Ventes,01/08/2025
Orbea,2022.0,896,3200.0,5699.0,2025.0,September,3.0,43.8,3,Sheet_Données,01/09/2025
Moustache,2022.0,4174,2799.0,6599.0,2025.0,September,3.0,57.6,3,Sheet_Données de ventes internes,01/09/2025
Marin,2024.0,5,1680.0,2599.0,2025.0,September,1.0,35.4,1,Sheet_Données,01/09/2025
Orbea,2022.0,896.0,3200.0,5699.0,2025.0,September,3.0,43.8,,EBR Ventes,05/09/2025
Orbea,2022.0,896.0,3200.0,5699.0,2025.0,September,3.0,43.8,,EBR Ventes,05/09/2025
Moustache,2022.0,4174.0,2799.0,6599.0,2025.0,September,3.0,57.6,,EBR Ventes,25/09/2025
Lapierre,2020.0,1549,1799.0,3999.0,2025.0,October,5.0,55.0,5,Sheet_Données,01/10/2025
Fantic,2025.0,58,2499.0,5299.0,2025.0,October,0.0,52.8,0,Sheet_Données de ventes internes,01/10/2025
Fantic,2025.0,58.0,2499.0,5299.0,2025.0,October,0.0,52.8,,EBR Ventes,21/10/2025
Fantic,2025.0,58.0,2499.0,5299.0,2025.0,October,0.0,52.8,,EBR Ventes,21/10/2025
Lapierre,2020.0,1549.0,1799.0,3999.0,2025.0,October,5.0,55.0,,EBR Ventes,28/10/2025
Lapierre,2020.0,1549.0,1799.0,3999.0,2025.0,October,5.0,55.0,,EBR Ventes,28/10/2025
Orbea,2025.0,5,3049.0,6599.0,2025.0,November,0.0,53.8,0,Sheet_Données,01/11/2025
Giant,2024.0,147,999.0,1875.0,2025.0,November,1.0,46.7,1,Sheet_Données,01/11/2025
Cube,2022.0,2558,2600.0,5499.0,2025.0,November,3.0,52.7,3,Sheet_Données de ventes internes,01/11/2025
Santa,2023.0,3060,3449.0,8599.0,2025.0,November,2.0,59.9,2,Sheet_Données,01/11/2025
Scott,2022.0,1078,3499.0,6529.0,2025.0,November,3.0,46.4,3,Sheet_Données,01/11/2025
Cube,2021.0,11553,1099.0,3399.0,2025.0,November,4.0,67.7,4,Sheet_Données,01/11/2025
Bergamont,2025.0,32,2299.0,4399.0,2025.0,November,0.0,47.7,0,Sheet_Données,01/11/2025
Stevens,2023.0,5,1699.0,3499.0,2025.0,November,2.0,51.4,2,Sheet_Données,01/11/2025
Pivot,2022.0,4474,4089.0,10000.0,2025.0,November,3.0,59.1,3,Sheet_Données,01/11/2025
Electra,2021.0,522,949.0,1999.0,2025.0,November,4.0,52.5,4,Sheet_Données,01/11/2025
Moustache,2018.0,5573,1649.0,5999.0,2025.0,November,7.0,72.5,7,Sheet_Données,01/11/2025
Haibike,2022.0,1948,1999.0,4599.0,2025.0,November,3.0,56.5,3,Sheet_Données,01/11/2025
Orbea,2024.0,1050,3499.0,9399.0,2025.0,November,1.0,62.8,1,Sheet_Données,01/11/2025
Haibike,2022.0,150,2399.0,4799.0,2025.0,November,3.0,50.0,3,Sheet_Données,01/11/2025
Orbea,2021.0,1531,2299.0,6299.0,2025.0,November,4.0,63.5,4,Sheet_Données,01/11/2025
Stevens,2023.0,5,1649.0,3499.0,2025.0,November,2.0,52.9,2,Sheet_Données,01/11/2025
Santa,2022.0,22,5599.0,11149.0,2025.0,November,3.0,49.8,3,Sheet_Données,01/11/2025
Cube,2022.0,4398,1699.0,2399.0,2025.0,November,3.0,29.2,3,Sheet_Données,01/11/2025
Haibike,2022.0,660,2149.0,4654.0,2025.0,November,3.0,53.8,3,Sheet_Données,01/11/2025
Scott,2017.0,2007,1949.0,6199.0,2025.0,November,8.0,68.6,8,Sheet_Données,01/11/2025
Cube,2022.0,6388,1149.0,3192.0,2025.0,November,3.0,64.0,3,Sheet_Données,01/11/2025
Ixgo,2024.0,5,1999.0,3900.0,2025.0,November,1.0,48.7,1,Sheet_Données,01/11/2025
Ktm,2024.0,1777,2199.0,4199.0,2025.0,November,1.0,47.6,1,Sheet_Données,01/11/2025
Santa,2024.0,2,4689.0,6999.0,2025.0,November,1.0,33.0,1,Sheet_Données,01/11/2025
Bulls,2022.0,5,1599.0,2699.0,2025.0,November,3.0,40.8,3,Sheet_Données,01/11/2025
Bulls,2024.0,5,1849.0,3799.0,2025.0,November,1.0,51.3,1,Sheet_Données,01/11/2025
O2feel,2020.0,15491,1199.0,2799.0,2025.0,November,5.0,57.2,5,Sheet_Données,01/11/2025
Mondraker,2023.0,10157,1199.0,4585.0,2025.0,November,2.0,73.8,2,Sheet_Données,01/11/2025
Santa,2023.0,1804,2999.0,5642.0,2025.0,November,2.0,46.8,2,Sheet_Données,01/11/2025
Cube,2021.0,35,1599.0,2999.0,2025.0,November,4.0,46.7,4,Sheet_Données,01/11/2025
Cube,2018.0,4506,799.0,2099.0,2025.0,November,7.0,61.9,7,Sheet_Données,01/11/2025
Haibike,2021.0,119,1649.0,3319.0,2025.0,November,4.0,50.3,4,Sheet_Données,01/11/2025
Rotwild,2025.0,5,4249.0,9490.0,2025.0,November,0.0,55.2,0,Sheet_Données,01/11/2025
Carver,2025.0,5,1899.0,3700.0,2025.0,November,0.0,48.7,0,Sheet_Données,01/11/2025
Malaguti,2024.0,169,2399.0,4479.0,2025.0,November,1.0,46.4,1,Sheet_Données,01/11/2025
O2feel,2019.0,1319,1699.0,5000.0,2025.0,November,6.0,66.0,6,Sheet_Données,01/11/2025
Bulls,2025.0,5,2549.0,5999.0,2025.0,November,0.0,57.5,0,Sheet_Données,01/11/2025
Cube,2018.0,780,1199.0,2799.0,2025.0,November,7.0,57.2,7,Sheet_Données,01/11/2025
Bulls,2023.0,5,2049.0,4599.0,2025.0,November,2.0,55.4,2,Sheet_Données,01/11/2025
Santa,2024.0,2,4299.0,7959.0,2025.0,November,1.0,46.0,1,Sheet_Données,01/11/2025
Canyon,2021.0,1731,1799.0,3647.0,2025.0,November,4.0,50.7,4,Sheet_Données,01/11/2025
Haibike,2021.0,3294,1199.0,2999.0,2025.0,November,4.0,60.0,4,Sheet_Données,01/11/2025
Cube,2023.0,1574,2299.0,3912.0,2025.0,November,2.0,41.2,2,Sheet_Données,01/11/2025
Cannondale,2017.0,1049,1199.0,3599.0,2025.0,November,8.0,66.7,8,Sheet_Données,01/11/2025
Bh,2024.0,262,2299.0,3999.0,2025.0,November,1.0,42.5,1,Sheet_Données,01/11/2025
Haibike,2023.0,256,1799.0,3299.0,2025.0,November,2.0,45.5,2,Sheet_Données,01/11/2025
Pivot,2023.0,3300,4499.0,11999.0,2025.0,November,2.0,62.5,2,Sheet_Données,01/11/2025
Bionicon,2024.0,4046,2649.0,4799.0,2025.0,November,1.0,44.8,1,Sheet_Données,01/11/2025
Focus,2024.0,5,2499.0,4599.0,2025.0,November,1.0,45.7,1,Sheet_Données,01/11/2025
Rockrider,2022.0,272,949.0,1185.0,2025.0,November,3.0,19.9,3,Sheet_Données,01/11/2025
Santa,2025.0,7,5349.0,9849.0,2025.0,November,0.0,45.7,0,Sheet_Données,01/11/2025
Santa,2023.0,1310,3189.0,7599.0,2025.0,November,2.0,58.0,2,Sheet_Données,01/11/2025
Santa,2024.0,789,4589.0,8500.0,2025.0,November,1.0,46.0,1,Sheet_Données,01/11/2025
Santa,2022.0,7,5649.0,10699.0,2025.0,November,3.0,47.2,3,Sheet_Données,01/11/2025
Cube,2024.0,457,2349.0,4141.0,2025.0,November,1.0,43.3,1,Sheet_Données,01/11/2025
Santa,2024.0,940,6999.0,10999.0,2025.0,November,1.0,36.4,1,Sheet_Données,01/11/2025
Trek,2022.0,4207,2249.0,7399.0,2025.0,November,3.0,69.6,3,Sheet_Données,01/11/2025
Haibike,2021.0,669,1299.0,2889.0,2025.0,November,4.0,55.0,4,Sheet_Données,01/11/2025
Mondraker,2022.0,1009,3149.0,5804.0,2025.0,November,3.0,45.7,3,Sheet_Données,01/11/2025
Bulls,2023.0,5,1949.0,4299.0,2025.0,November,2.0,54.7,2,Sheet_Données,01/11/2025
Bulls,2022.0,5,1649.0,3499.0,2025.0,November,3.0,52.9,3,Sheet_Données,01/11/2025
Decathlon,2024.0,624,2249.0,3499.0,2025.0,November,1.0,35.7,1,Sheet_Données,01/11/2025
Rotwild,2021.0,4288,1999.0,5500.0,2025.0,November,4.0,63.7,4,Sheet_Données,01/11/2025
