Marque,Année_Velo,Kilométrage,Prix Vente (€),Prix Neuf (€),Année de la vente,Mois de la vente,Age du vélo,Décôte/neuf (%),Lien,Source,Date_Scan
Marin,2024,0,1680.0,2599.0,2025,September,1,35.4,,EBR Ventes,23/09/2025
Marin,2024,0,1680.0,2599.0,2025,September,1,35.4,,EBR Ventes,23/09/2025
Marin,2025,0,829.0,1099.0,2026,April,1,24.6,,EBR Ventes,17/04/2026
Marin,2025,0,829.0,1099.0,2026,April,1,24.6,,EBR Ventes,17/04/2026
Megamo,2025,0,1999.0,3599.0,2026,May,1,44.5,https://mint-bikes.com/products/megamo-silk-08-granet,Mint,14/05/2026
Trek,2025,0,1249.0,1499.0,2026,May,1,16.7,https://mint-bikes.com/products/trek-checkpoint-alr-4-2025,Mint,14/05/2026
Schindelhauer,2022,0,1649.0,3994.0,2026,May,4,58.7,https://upway.fr/products/schindelhauer-f10-rr4ss2,Upway,14/05/2026
Megamo,2025,0,2099.0,3599.0,2026,May,1,41.7,https://mint-bikes.com/products/megamo-silk-08-beige,Mint,14/05/2026
Bergamont,2025,0,1199.0,2294.0,2026,May,1,47.7,https://upway.fr/products/bergamont-grandurance-6-fmn-rr6hr2,Upway,14/05/2026
Merida,2022,0,1049.0,1600.0,2026,May,4,34.4,https://mint-bikes.com/products/merida-silex-400,Mint,14/05/2026
3t,2022,0,2399.0,5799.0,2026,May,4,58.6,https://mint-bikes.com/products/3t-exploro-race-max-ekar-13,Mint,14/05/2026
Stevens,2023,0,749.0,1600.0,2026,May,3,53.2,https://upway.fr/products/stevens-san-ramo-rr4qr5,Upway,14/05/2026
Welt,2026,0,829.0,949.0,2026,May,0,12.6,https://mint-bikes.com/products/welt-stroke-1,Mint,14/05/2026
Cannondale,2024,0,2049.0,3999.0,2026,May,2,48.8,https://mint-bikes.com/products/cannondale-supersix-evo-cx,Mint,14/05/2026
Megamo,2026,0,1949.0,2399.0,2026,May,0,18.8,https://mint-bikes.com/products/megamo-west-15-2026,Mint,14/05/2026
Giant,2025,0,2299.0,3100.0,2026,May,1,25.8,https://mint-bikes.com/products/giant-revolt-advanced-2,Mint,14/05/2026
Megamo,2026,0,829.0,999.0,2026,May,0,17.0,https://mint-bikes.com/products/megamo-jakar-base,Mint,14/05/2026
