Date_Scan,Marque,Année,Prix Vente (€),Prix Neuf (€),Lien
03/06/2026,Colnago,2025,2999,5099,https://mint-bikes.com/products/colnago-g4-x-48
03/06/2026,Giant,2024,2849,7599,https://mint-bikes.com/products/giant-revolt-x-advanced-pro-0-2024-t-m
03/06/2026,Focus,2021,1049,1999,https://mint-bikes.com/products/focus-atlas-6-7
03/06/2026,Focus,2023,1149,1999,https://mint-bikes.com/products/focus-atlas-6-7-2023
03/06/2026,Compel,2023,999,1399,https://mint-bikes.com/products/compel-rxs-10-0
03/06/2026,Bmc,2025,1749,2499,https://mint-bikes.com/products/bmc-urs-al-one-2025
03/06/2026,Bmc,2022,1599,2199,https://mint-bikes.com/products/bmc-urs-al-two
03/06/2026,Bmc,2023,1649,2399,https://mint-bikes.com/products/bmc-urs-al-two-xs
03/06/2026,Cannondale,2024,1899,3999,https://mint-bikes.com/products/cannondale-supersix-evo-cx
03/06/2026,Bottecchia,2024,1099,1899,https://mint-bikes.com/products/bottecchia-gravel-monster
03/06/2026,Megamo,2026,1329,1699,https://mint-bikes.com/products/megamo-jakar-30-26
03/06/2026,Specialized,2022,1199,2100,https://mint-bikes.com/products/specialized-diverge-e5-comp-2022-t-58-250341
03/06/2026,Megamo,2025,1269,1899,https://mint-bikes.com/products/megamo-jakar-20
03/06/2026,Trek,2025,1649,2499,https://mint-bikes.com/products/trek-checkpoint-alr-5
03/06/2026,Rocky,2022,1499,2400,https://mint-bikes.com/products/rocky-mountain-solo-50-m
03/06/2026,Megamo,2025,1249,1899,https://mint-bikes.com/products/megamo-jakar-20-25
03/06/2026,Welt,2025,949,999,https://mint-bikes.com/products/welt-voyager-1-0
03/06/2026,Megamo,2026,1329,1699,https://mint-bikes.com/products/megamo-jakar
03/06/2026,Welt,2025,1229,1349,https://mint-bikes.com/products/welt-g100
03/06/2026,Megamo,2025,1949,3599,https://mint-bikes.com/products/megamo-silk-08-granet
03/06/2026,Megamo,2026,2039,2399,https://mint-bikes.com/products/megamo-west-15-2026
03/06/2026,Megamo,2025,1949,3599,https://mint-bikes.com/products/megamo-silk-08-beige
03/06/2026,Megamo,2026,2039,2399,https://mint-bikes.com/products/megamo-west-15-2026-2
03/06/2026,3t,2022,2149,5799,https://mint-bikes.com/products/3t-exploro-race-max-ekar-13
03/06/2026,Welt,2026,899,999,https://mint-bikes.com/products/welt-g90
03/06/2026,Wilier,2022,1549,2600,https://mint-bikes.com/products/wilier-triestina-jaroon
03/06/2026,Megamo,2026,1326,1699,https://mint-bikes.com/products/megamo-jakar-30-2026-t-s-copie
03/06/2026,Cannondale,2026,3949,7799,https://mint-bikes.com/products/cannondale-700-u-topstone-crb-1-lefty
03/06/2026,Megamo,2026,1349,1699,https://mint-bikes.com/products/megamo-jakar-30-2026-copie
03/06/2026,Bmc,2024,3099,5999,https://mint-bikes.com/products/bmc-urs-01-four
03/06/2026,Colnago,2025,3399,4499,https://mint-bikes.com/products/colnago-g4-x-2025-t-52-copie
03/06/2026,Giant,2024,1699,2800,https://mint-bikes.com/products/giant-revolt-x-1
03/06/2026,Cannondale,2026,4299,7799,https://mint-bikes.com/products/cannondale-700-u-topstone-crb-1-rle
03/06/2026,Megamo,2026,1169,1299,https://mint-bikes.com/products/megamo-jakar-flat-bar-2026-copie
03/06/2026,Megamo,2026,1709,1899,https://mint-bikes.com/products/megamo-jakar-30-equipped
03/06/2026,Megamo,2026,1169,1299,https://mint-bikes.com/products/megamo-jakar-flat-bar
03/06/2026,Megamo,2026,1169,1299,https://mint-bikes.com/products/megamo-jakar-flat-bar-2026
