Date_Scan,Marque,Année,Prix Vente (€),Prix Neuf (€),Lien
21/05/2026,Bergamont,2025,1099,2294,https://upway.fr/products/bergamont-grandurance-6-fmn-rr6hr2
21/05/2026,Canyon,2023,1399,2141,https://upway.fr/products/canyon-grailon-cf-7-rr6hh5
21/05/2026,Rondo,2021,1049,2521,https://upway.fr/products/rondo-ruut-al-2-gravel-plus-rr3rw0
21/05/2026,Basso,2023,2449,4046,https://upway.fr/products/basso-tera-gravel-grx-600-rr6wu1
21/05/2026,Vaast,2023,1749,3765,https://upway.fr/products/vaast-bikes-a1-650b-rival-1-rr6dq6
21/05/2026,Trek,2023,899,1849,https://upway.fr/products/trek-checkpoint-al-4-rr6dy4
21/05/2026,Trek,2025,1549,3063,https://upway.fr/products/trek-checkpoint-alr-5-rr4js5
21/05/2026,Trek,2022,1749,4395,https://upway.fr/products/trek-domane-sl-rr3ms4
21/05/2026,Axess,2025,1199,1350,https://upway.fr/products/axess-creed-adv-rr5fp1
21/05/2026,Stevens,2024,2099,4159,https://upway.fr/products/stevens-prestige-rr6hk8
21/05/2026,Bianchi,2023,1449,2403,https://upway.fr/products/bianchi-via-nirone-7-allroad-rr6gg7
21/05/2026,Liteville,2023,2249,6999,https://upway.fr/products/liteville-4one-mk2-rr4wf4
21/05/2026,Trek,2023,1399,2999,https://upway.fr/products/trek-checkpoint-alr-5-driftless-rr4qq5
21/05/2026,Felt,2020,1499,3224,https://upway.fr/products/felt-breed-20-rr6hj5
21/05/2026,Ktm,2020,1299,2735,https://upway.fr/products/ktm-strada-20-rr6hg4
21/05/2026,Schindelhauer,2022,1299,3994,https://upway.fr/products/schindelhauer-f10-rr4ss2
21/05/2026,Cube,2023,1849,3389,https://upway.fr/products/cube-nuroad-c62-slx-rr5nb2
21/05/2026,Wilier,2023,1449,3455,https://upway.fr/products/wilier-garda-rim-rr4tr0
21/05/2026,Rose,2023,1599,2609,https://upway.fr/products/rose-backroad-plus-grx-rx600-rr6fb2
21/05/2026,Rose,2023,1699,3569,https://upway.fr/products/rose-rose-backroad-grx-rx810-1x11-rr6hh0
21/05/2026,Rondo,2022,1449,2998,https://upway.fr/products/rondo-ruut-al-1-rr6dy2
21/05/2026,Scott,2022,1449,2899,https://upway.fr/products/scott-contessa-spark-930-bfc78
21/05/2026,Cannondale,2023,2949,6544,https://upway.fr/products/cannondale-topstone-carbon-rival-axs-rr6ee1
