Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien,Source
13/04/2026,2026,Avril,PRIX,2023,22023939,110,6499,https://mint-bikes.com/products/giant-stormguard-e-2,PRIX EN BAISSE (-150€) GIANT Stormguard E+ 2 2023 939km De 1.75m à 1.95m 800Wh 3 249 € Prix régulier
13/04/2026,2026,Avril,Nouveauté,2023,7502023988,83,4099,https://mint-bikes.com/products/cube-reaction-hybrid-slx-750-2023-l,Nouveauté CUBE Reaction Hybrid SLX 750 2023 988km De 1.73m à 1.86m 750Wh 2 449 € Prix régulier 4 099
13/04/2026,2026,Avril,Nouveauté,2022,202266,65,3599,https://mint-bikes.com/products/giant-fathom-e-ex-2022-l,Nouveauté GIANT Fathom E+ EX 2022 66km De 1.75m à 1.88m 625Wh 1 899 € Prix régulier 3 599 € neuf -47
13/04/2026,2026,Avril,PRIX,2023,1500,109,9799,https://mint-bikes.com/products/bh-ilynx-trail-carbon-pro-8-9-2023-t-m-248963,PRIX EN BAISSE (-500€) BH iLynx+ Trail Carbon Pro 8.9 2023 Environ 1500km De 1.7m à 1.8m 85.0Nm 540W
13/04/2026,2026,Avril,Nouveauté,2026,2920262,44,1999,https://mint-bikes.com/products/bh-atom-29-26,Nouveauté BH Atom 29 2026 2km De 1.65m à 1.84m 80.0Nm 500Wh 1 539 € Prix régulier 1 999 € neuf -23% 
13/04/2026,2026,Avril,PRIX,2025,900,100,4599,https://mint-bikes.com/products/cube-stereo-hybrid-one77-hpc-race-800,PRIX EN BAISSE (-100€) CUBE Stereo Hybrid ONE77 HPC Race 800Wh 2025 Environ 900km De 1.59m à 2.0m 10
13/04/2026,2026,Avril,PRIX,2022,20221500,103,7649,https://mint-bikes.com/products/bh-ilynx-trail-carbon-pro-8-9,PRIX EN BAISSE (-110€) BH ilynx Trail Carbon Pro 8.9 720Wh 2022 1500km De 1.68m à 1.8m 65.0Nm 540Wh 
13/04/2026,2026,Avril,PRIX,2025,900,89,4599,https://mint-bikes.com/products/cube-stereo-hybrid-one77-hpc-race-800-2025,PRIX EN BAISSE (-100€) CUBE Stereo Hybrid ONE77 HPC Race 800Wh 2025 Environ 900km De 1.59m à 1.88m 1
13/04/2026,2026,Avril,PRIX,2022,1500,97,9099,https://mint-bikes.com/products/bh-ilynx-trail-carbone-pro-8-9-2022,PRIX EN BAISSE (-100€) BH ilynx Trail Carbone Pro 8.9 2022 Environ 1500km De 1.78m à 1.89m 65.0Nm 54
13/04/2026,2026,Avril,Nouveauté,2023,42023337,93,4999,https://mint-bikes.com/products/cannondale-moterra-neo-4-2023-l,Nouveauté CANNONDALE CANNONDALE Moterra Neo 4 2023 337km De 1.72m à 1.86m 85.0Nm 630Wh 2 749 € Prix 
13/04/2026,2026,Avril,PRIX,2023,920231253,107,9799,https://mint-bikes.com/products/bh-ilynx-trail-carbon-pro-8-9-2023,PRIX EN BAISSE (-150€) BH iLYNX + Trail Carbon Pro 8.9 2023 1253km De 1.78m à 1.89m 85.0Nm 540Wh 3 1
13/04/2026,2026,Avril,PRIX,2023,92023427,120,9800,https://mint-bikes.com/products/bh-ilynx-trail-pro-8-9-23,PRIX EN BAISSE (-300€) BH iLYNX+ TRAIL PRO 8.9 2023 427km De 1.58m à 1.71m 85.0Nm 540Wh 3 549 € Prix
13/04/2026,2026,Avril,PRIX,2022,12022794,44,2800,https://mint-bikes.com/products/giant-fathom-e-1-2022-t-xxl,PRIX EN BAISSE (-200€) GIANT Fathom E+ 1 2022 794km De 1.99m à 2.08m 70.0Nm 500Wh 1 299 € Prix régul
