Date_Scan,Marque,Année,Kilométrage,Prix Vente (€),Prix Neuf (€)
08/05/2026,Autre,2022,192,4749,12499
08/05/2026,Autre,2023,1304,2199,3844
08/05/2026,Autre,2023,1857,2939,6199
08/05/2026,Autre,2023,232,2369,5179
08/05/2026,Autre,2023,3,3499,6999
08/05/2026,Bulls,2023,1757,2469,4999
08/05/2026,Bulls,2023,475,2399,4999
08/05/2026,Bulls,2022,9686,2159,3999
08/05/2026,Bulls,2023,740,2839,5699
08/05/2026,Bulls,2023,1000,3099,6199
08/05/2026,Bulls,2023,449,2469,4999
08/05/2026,Cannondale,2022,1940,3799,8499
08/05/2026,Corratec,2022,1244,1499,3819
08/05/2026,Corratec,2023,2475,1459,3799
08/05/2026,Cube,2023,683,3889,6999
08/05/2026,Cube,2025,99,3989,6199
08/05/2026,Giant,2022,1655,4149,8568
08/05/2026,Giant,2022,417,1999,3611
08/05/2026,Giant,2023,1294,3449,6392
08/05/2026,Haibike,2024,1806,2469,4299
08/05/2026,Haibike,2021,928,1769,3399
08/05/2026,Raymon,2022,2288,1399,2499
08/05/2026,Scott,2023,1110,4459,7999
08/05/2026,Trek,2021,58,2749,5585
