Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien,Source,Date_Scan,Année
13/04/2026,2026.0,Avril,Cube,2025.0,1447,2499,3399,https://upway.fr/products/cube-reaction-hybrid-pro-allroad-rr3kz8,Cube Reaction Hybrid Pro Allroad 2025 1m68-1m81 1 447 km 2 499 € 3 399 €,,
13/04/2026,2026.0,Avril,Bulls,2022.0,1857,2199,4799,https://upway.fr/products/bulls-copperhead-evo-1-rr2wn0,Bulls COPPERHEAD EVO 1 2022 1m72-1m85 1 857 km 2 199 € 4 799 €,,
13/04/2026,2026.0,Avril,Cube,2020.0,213,2449,4099,https://upway.fr/products/cube-stereo-hybrid-140-sl-500-rr0xp3,Cube Stereo Hybrid 140 SL 500 2020 1m64-1m77 213 km 2 449 € 4 099 €,,
13/04/2026,2026.0,Avril,Nakamura,2025.0,59,1449,1899,https://upway.fr/products/nakamura-esummit-ltd-rr3hy8,Nakamura E-Summit LTD 2025 1m65-1m75 59 km 1 449 € 1 899 €,,
13/04/2026,2026.0,Avril,Bulls,2022.0,588,1749,3599,https://upway.fr/products/bulls-copperhead-evo-1-29-rr3fr7,Bulls Copperhead EVO 1 29 2022 1m85-2m00 588 km 1 749 € 3 599 €,,
13/04/2026,2026.0,Avril,Fantic,2022.0,620,2049,4690,https://upway.fr/products/fantic-xtf15-rr3ec5,Fantic XTF-1.5 2022 1m70-1m85 620 km 2 049 € 4 690 €,,
13/04/2026,2026.0,Avril,Raymon,2022.0,130,2249,4699,https://upway.fr/products/raymon-trailray-160e-80-rr3fk6,Raymon TrailRay 160E 8.0 2022 1m65-1m75 130 km 2 249 € 4 699 €,,
13/04/2026,2026.0,Avril,Haibike,2024.0,206,2049,3199,https://upway.fr/products/haibike-alltrack-5-rr3qr5,Haibike AllTrack 5 2024 1m70-1m85 206 km 2 049 € 3 199 €,,
13/04/2026,2026.0,Avril,Giant,2021.0,1459,1449,2899,https://upway.fr/products/giant-fathom-e-2-rr3bs6,Giant Fathom E+ 2 2021 1m69-1m83 1 459 km 1 449 € 2 899 €,,
13/04/2026,2026.0,Avril,Haibike,2018.0,2360,1449,3499,https://upway.fr/products/haibike-sduro-hardnine-80-rr3fw1,Haibike Sduro Hardnine 8.0 2018 1m75-1m85 2 360 km 1 449 € 3 499 €,,
13/04/2026,2026.0,Avril,Cube,2020.0,10314,1249,2799,https://upway.fr/products/cube-reaction-hybrid-race-rr3qk4,Cube Reaction Hybrid Race 2020 1m81-1m95 10 314 km 1 249 € 2 799 €,,
13/04/2026,2026.0,Avril,Cube,2023.0,788,2499,3649,https://upway.fr/products/cube-nuride-hybrid-exc-750-allroad-rr2nu3,Cube Nuride Hybrid EXC 750 Allroad 2023 1m80-1m93 788 km 2 499 € 3 649 €,,
13/04/2026,2026.0,Avril,Cube,2022.0,1025,2049,3149,https://upway.fr/products/cube-reaction-hybrid-pro-625-29-rr2wl5,Cube Reaction Hybrid Pro 625 29 2022 1m70-1m80 1 025 km 2 049 € 3 149 €,,
13/04/2026,2026.0,Avril,Cube,2022.0,3464,2049,3449,https://upway.fr/products/cube-reaction-hybrid-sl-29-rr0xq3,Cube Reaction Hybrid SL 29 2022 1m74-1m88 3 464 km 2 049 € 3 449 €,,
13/04/2026,2026.0,Avril,Conway,2023.0,884,1699,3299,https://upway.fr/products/conway-cairon-s-20-rr3es9,Conway Cairon S 2.0 2023 1m85-1m95 884 km 1 699 € 3 299 €,,
13/04/2026,2026.0,Avril,Giant,2022.0,3434,1849,3899,https://upway.fr/products/hoheacht-sento-roko-drc22,Giant TEMPT E+ 2022 1m50-1m55 3 434 km 1 849 € 3 899 €,,
13/04/2026,2026.0,Avril,Olympia,2022.0,2076,1849,3795,https://upway.fr/products/olympia-performer-900-rr2uq6,Olympia Performer 900 2022 1m70-1m85 2 076 km 1 849 € 3 795 €,,
13/04/2026,2026.0,Avril,Cube,2020.0,4739,2299,4799,https://upway.fr/products/cube-stereo-hybrid-140-hpc-race-rr0kg8,Cube Stereo Hybrid 140 HPC Race 2020 1m65-1m80 4 739 km 2 299 € 4 799 €,,
13/04/2026,2026.0,Avril,KTM,2021.0,3147,1449,2999,https://upway.fr/products/ktm-macina-race-291-rr2ky9,KTM Macina Race 291 2021 1m78-1m92 3 147 km 1 449 € 2 999 €,,
13/04/2026,2026.0,Avril,Haibike,2022.0,2522,2399,4999,https://upway.fr/products/haibike-aiitrail-6-29-rr2mr0,Haibike AIITrail 6 29 2022 1m82-1m92 2 522 km 2 399 € 4 999 €,,
13/04/2026,2026.0,Avril,Fantic,2022.0,820,2049,4690,https://upway.fr/products/fantic-xtf15-rr3ec9,Fantic XTF-1.5 2022 1m70-1m85 820 km 2 049 € 4 690 €,,
13/04/2026,2026.0,Avril,Bianchi,2022.0,2182,2199,4399,https://upway.fr/products/bianchi-eomnia-xtype-ht-rr2qp1,Bianchi e-Omnia X-Type HT 2022 1m72-1m85 2 182 km 2 199 € 4 399 €,,
13/04/2026,2026.0,Avril,Fantic,2020.0,6627,1149,3790,https://upway.fr/products/fantic-xf2integra-rr3ef9,Fantic XF2-Integra 2020 1m70-1m85 6 627 km 1 149 € 3 790 €,,
,,,Scott,,832,2299,3799,https://upway.fr/products/scott-aspect-eride-920-rr3ma3,,15/04/2026,2024.0
,,,Scott,,12 172,1449,5699,https://upway.fr/products/scott-espark-710-rr3dp8,,15/04/2026,2017.0
,,,Bianchi,,2 941,2099,4049,https://upway.fr/products/bianchi-eomnia-xtype-rr2cs0,,15/04/2026,2023.0
,,,Trek,,8,1649,2799,https://upway.fr/products/trek-marlin-6-rr4jh7,,15/04/2026,2024.0
,,,Cube,,3 059,2349,3799,https://upway.fr/products/cube-reaction-hybrid-race-750-rr0uy3,,15/04/2026,2022.0
,,,Rockrider,,1 576,1049,1500,https://upway.fr/products/rockrider-est-500-rr3dh7,,15/04/2026,2022.0
,,,Ns,,2 045,1849,6399,https://upway.fr/products/ns-bikes-e-fine-2-rr0ma9,,15/04/2026,2023.0
,,,Swype,,1 942,2099,3399,https://upway.fr/products/swype-torqz-10-rr4jg7,,15/04/2026,2022.0
,,,Raymon,,627,1399,2599,https://upway.fr/products/raymon-hardray-e-30-rr4jg0,,15/04/2026,2022.0
,,,Liv,,2 536,1799,3849,https://upway.fr/products/liv-embolden-e-2-rr4jf1,,15/04/2026,2022.0
,,,Giant,,2 476,1399,2899,https://upway.fr/products/giant-fathom-e-2-29er-rr3ez8,,15/04/2026,2021.0
,,,Ktm,,1 693,1999,3949,https://upway.fr/products/ktm-macina-team-xl-rr3mu0,,15/04/2026,2021.0
,,,Cube,,6 218,2099,3799,https://upway.fr/products/cube-reaction-hybrid-race-rr1yu2,,15/04/2026,2023.0
,,,Cube,,1 963,1949,2949,https://upway.fr/products/cube-reaction-pro-rr3lk9,,15/04/2026,2022.0
,,,Ktm,,858,2299,4099,https://upway.fr/products/ktm-macina-team-772-rr3rp1,,15/04/2026,2023.0
,,,Canyon,,2 811,1999,4299,https://upway.fr/products/canyon-spectral-on-al-70-rr3gs3,,15/04/2026,2019.0
,,,Scott,,4 503,2399,5299,https://upway.fr/products/scott-strike-eride-930-rr3gr2,,15/04/2026,2022.0
,,,Fantic,,4 380,1149,3290,https://upway.fr/products/fantic-fatsport-rr0yk9,,15/04/2026,2019.0
,,,Haibike,,232,1599,2699,https://upway.fr/products/haibike-hardseven-6-rr3qc0,,15/04/2026,2021.0
,,,Giant,,409,1999,3699,https://upway.fr/products/giant-stance-e-pro-rr3gk3,,15/04/2026,2022.0
,,,Giant,,1 123,1749,3099,https://upway.fr/products/giant-fathom-e-2-rr4jd0,,15/04/2026,2022.0
,,,Bulls,,3 319,1649,3799,https://upway.fr/products/bulls-copperhead-pb18,,15/04/2026,2021.0
,,,Conway,,12 074,1699,4999,https://upway.fr/products/conway-xyron-suv-69-rr4cn7,,15/04/2026,2022.0
,,,Scott,,5 613,2349,4999,https://upway.fr/products/scott-strike-eride-920-rr3lc7,,17/04/2026,2023.0
,,,Cannondale,,1 748,2399,4999,https://upway.fr/products/cannondale-moterra-neo-rr3qw6,,17/04/2026,2022.0
,,,Decathlon,,3 424,1149,1999,https://upway.fr/products/decathlon-est-900-rr3ae6,,17/04/2026,2021.0
,,,Giant,,3 764,2349,4999,https://upway.fr/products/giant-stance-e-1-pro-rr3db2,,17/04/2026,2022.0
,,,Ktm,,261,2299,3859,https://upway.fr/products/ktm-macina-race-571-rr3jw3,,17/04/2026,2022.0
,,,Gasgas,,685,2149,3799,https://upway.fr/products/gasgas-tra-6-rr3jk6,,17/04/2026,2024.0
,,,Cube,,2 432,1949,2949,https://upway.fr/products/cube-reaction-hybrid-pro-625-rr3nq4,,17/04/2026,2022.0
,,,Cube,,1 345,1499,2499,https://upway.fr/products/cube-sure-damen-rr3rk3,,17/04/2026,2019.0
,,,Cube,,2 796,2499,4549,https://upway.fr/products/cube-stereo-hybrid-140-hpc-sl-625-29-rr3ps6,,17/04/2026,2021.0
,,,Haibike,,1 768,1299,2399,https://upway.fr/products/haibike-hardnine-4-rr4bd9,,17/04/2026,2021.0
,,,Scott,,832,2199,3799,https://upway.fr/products/scott-aspect-eride-920-rr3ma3,,17/04/2026,2024.0
,,,Scott,,12 172,1399,5699,https://upway.fr/products/scott-espark-710-rr3dp8,,17/04/2026,2017.0
,,,Bianchi,,2 941,2049,4049,https://upway.fr/products/bianchi-eomnia-xtype-rr2cs0,,17/04/2026,2023.0
,,,Cube,,3 059,2249,3799,https://upway.fr/products/cube-reaction-hybrid-race-750-rr0uy3,,17/04/2026,2022.0
,,,Giant,,725,2349,4299,https://upway.fr/products/giant-stance-e-ex-rr3uk1,,17/04/2026,2022.0
,,,Cube,,7 375,2449,5200,https://upway.fr/products/cube-stereo-hybrid-120-slt-750-29-rr3jl4,,17/04/2026,2022.0
,,,Giant,,1 015,1149,2099,https://upway.fr/products/giant-talon-e2-rr1pd3,,17/04/2026,2021.0
,,,Focus,,1 164,2499,4500,https://upway.fr/products/focus-thron-68-rr3qd9,,17/04/2026,2022.0
,,,Swype,,1 942,2049,3399,https://upway.fr/products/swype-torqz-10-rr4jg7,,17/04/2026,2022.0
,,,Orbea,,6 956,2049,5299,https://upway.fr/products/orbea-rise-h30-rr3ku6,,17/04/2026,2022.0
,,,Raymon,,627,1349,2599,https://upway.fr/products/raymon-hardray-e-30-rr4jg0,,17/04/2026,2022.0
,,,Cube,,5 370,1749,2849,https://upway.fr/products/cube-reaction-hybrid-one-rr4cr5,,17/04/2026,2023.0
,,,Cube,,1 911,2449,4499,https://upway.fr/products/cube-stereo-hybrid-160-sl-500-275-rr3jz9,,17/04/2026,2020.0
,,,Cube,,218,2499,3249,https://upway.fr/products/cube-reaction-hybrid-pro-rr3pr2,,19/04/2026,2024.0
,,,Cube,,2 725,1949,3699,https://upway.fr/products/cube-stereo-hybrid-120-race-500-rr4fh2,,19/04/2026,2019.0
,,,Cube,,5 679,1399,2899,https://upway.fr/products/cube-reaction-hybrid-race-500-rr4fx0,,19/04/2026,2019.0
,,,Cube,,1 699,2099,2899,https://upway.fr/products/cube-reaction-hybrid-one-625-rr0za4,,19/04/2026,2023.0
,,,Cube,,4 134,1899,3049,https://upway.fr/products/cube-reaction-hybrid-pro-625-29-rr3nz2,,19/04/2026,2023.0
,,,Bulls,,1 738,1999,4099,https://upway.fr/products/bulls-aminga-eva-3-rr3jq2,,19/04/2026,2022.0
,,,Giant,,541,1699,2599,https://upway.fr/products/giant-talon-e-1-rr3tp8,,19/04/2026,2025.0
,,,Raymon,,893,1949,3914,https://upway.fr/products/raymon-hardray-e-50-rr3pa6,,19/04/2026,2022.0
,,,Decathlon,,802,1449,2199,https://upway.fr/products/decathlon-est-900-rr3hl4,,19/04/2026,2022.0
,,,Scott,,5 613,2249,4999,https://upway.fr/products/scott-strike-eride-920-rr3lc7,,19/04/2026,2023.0
,,,Cannondale,,1 748,2299,4999,https://upway.fr/products/cannondale-moterra-neo-rr3qw6,,19/04/2026,2022.0
,,,Scott,,1 829,1799,3599,https://upway.fr/products/scott-aspect-eride-910-rr3gp2,,19/04/2026,2020.0
,,,Bulls,,5,1949,3599,https://upway.fr/products/bulls-lt-evo-cx-rr3uh7,,19/04/2026,2022.0
,,,Giant,,3 764,2249,4999,https://upway.fr/products/giant-stance-e-1-pro-rr3db2,,19/04/2026,2022.0
,,,Giant,,254,2499,5000,https://upway.fr/products/giant-trance-x-e3-pro-rr3gt7,,19/04/2026,2021.0
,,,Musing,,6 375,2499,6602,https://upway.fr/products/musing-savage-e-rr3kt7,,19/04/2026,2023.0
,,,Ktm,,261,2249,3859,https://upway.fr/products/ktm-macina-race-571-rr3jw3,,19/04/2026,2022.0
,,,Gasgas,,685,2099,3799,https://upway.fr/products/gasgas-tra-6-rr3jk6,,19/04/2026,2024.0
,,,Cube,,5 246,2349,4999,https://upway.fr/products/cube-stereo-hybrid-140-hpc-sl-625-rr3yz9,,19/04/2026,2020.0
