Date_Scan,Marque,Année,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien
04/06/2026,Bergamont,2025,5 ,2049,3499,https://upway.fr/products/bergamont-ehorizon-sport-6-rr8ke5
04/06/2026,Moustache,2020,9 295 ,1349,2899,https://upway.fr/products/moustache-samedi-283-rr5kr4
04/06/2026,Kalkhoff,2024,5 ,2399,3300,https://upway.fr/products/kalkhoff-endeavour-3b-move-rr7ug3
04/06/2026,Kalkhoff,2019,4 334 ,1149,2399,https://upway.fr/products/kalkhoff-endeavour-1b-move-rr7qz9
04/06/2026,Bergamont,2025,5 ,2049,3499,https://upway.fr/products/bergamont-ehorizon-sport-6-rr8kg1
04/06/2026,Cube,2022,3 254 ,2149,3495,https://upway.fr/products/cube-nuride-hybrid-pro-allroad-rr6ck0
04/06/2026,Cube,2022,2 419 ,2349,3573,https://upway.fr/products/cube-kathmandu-hybrid-one-rr6tp7
04/06/2026,Nakamura,2020,132 ,949,1299,https://upway.fr/products/nakamura-epowerfit-ltd-rr7qa3
04/06/2026,Neomouv,2026,5 ,949,2499,https://upway.fr/products/neomouv-kalyso-2-rr8hz1
04/06/2026,Urban,2025,5 ,2499,4199,https://upway.fr/products/urban-jungle-barrio-20-rr8lq8
04/06/2026,Nakamura,2023,1 577 ,1599,2099,https://upway.fr/products/nakamura-ecrossover-xa-rr2ky5
04/06/2026,Urban,2025,5 ,2049,3399,https://upway.fr/products/urban-jungle-barrio-30-rr8lr1
04/06/2026,Gudereit,2022,326 ,1449,2999,https://upway.fr/products/gudereit-et3-evo-rr7se7
04/06/2026,Fischer,2025,32 ,1599,2549,https://upway.fr/products/fischer-viator-60i-rr5wc9
04/06/2026,Fischer,2022,903 ,1199,2200,https://upway.fr/products/fischer-viator-41i-rr7rc0
04/06/2026,Ktm,2020,4 008 ,1449,3199,https://upway.fr/products/ktm-cento-10-rr7cw0
04/06/2026,Hercules,2024,2 185 ,1699,3499,https://upway.fr/products/hercules-robert-deluxe-ir8-rr7qc8
04/06/2026,Neomouv,2024,2 257 ,899,1849,https://upway.fr/products/neomouv-sinapia-le66
04/06/2026,Winora,2024,651 ,2349,4299,https://upway.fr/products/winora-yakun-10-rr7pu9
04/06/2026,Pegasus,2023,5 ,2399,4399,https://upway.fr/products/pegasus-premio-evo-5r-belt-rr7nr6
04/06/2026,Gazelle,2022,7 459 ,1999,3999,https://upway.fr/products/gazelle-avignon-c8-rr7xf0
04/06/2026,Hercules,2025,5 ,2199,4199,https://upway.fr/products/hercules-eimperial-if5-rr7yr4
04/06/2026,Haibike,2022,196 ,1349,2299,https://upway.fr/products/haibike-sduro-trekking-10-rr7ca8
