Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien
21/05/2026,2026.0,Mai,GAZELLE,2024.0,688,2299.0,3599,https://rutile.bike/products/gazelle-ultimate-c8
21/05/2026,2026.0,Mai,FOCUS,2024.0,0,2899.0,4399,https://rutile.bike/products/focus-aventura-6-8-29di-s40-f-red2-2
21/05/2026,2026.0,Mai,DIAMANT,2024.0,312,2499.0,3799,https://rutile.bike/products/diamant-zing-gen-2
21/05/2026,2026.0,Mai,FLYER,2025.0,0,2399.0,4799,https://rutile.bike/products/flyer-g1-upstreet-5-10-comfort-noir-s-5
21/05/2026,2026.0,Mai,CONWAY,2022.0,0,1799.0,3049,https://rutile.bike/products/conway-rad-cairon-t-2-0-rouge-l
21/05/2026,2026.0,Mai,KAYZA,2026.0,0,1799.0,2949,https://rutile.bike/products/kayza-elektro-trekkingrad-talik-dry-6-m
21/05/2026,2026.0,Mai,CUBE,2023.0,17,3199.0,4899,https://rutile.bike/products/cube-kathmandu-hybrid-abs-750
21/05/2026,2026.0,Mai,RIESE & MÜLLER,2022.0,5577,2499.0,5698,https://rutile.bike/products/riese-muller-charger-3-mixte-vario
21/05/2026,2026.0,Mai,PEGASUS,2022.0,1960,2299.0,3849,https://rutile.bike/products/pegasus-premio-evo-10-lite-28-diamant
21/05/2026,2026.0,Mai,WINORA,2024.0,489,3199.0,4999,https://rutile.bike/products/winora-yakun-r5-pro-aktionsmodell
21/05/2026,2026.0,Mai,KETTLER,2024.0,675,1999.0,3099,https://rutile.bike/products/kettler-escaro-comp-5-rt
21/05/2026,2026.0,Mai,ORTLER,2022.0,1070,1399.0,2299,https://rutile.bike/products/ortler-montreux-6100-intube-diamant
21/05/2026,2026.0,Mai,WINORA,2024.0,984,2799.0,4299,https://rutile.bike/products/winora-yakun-14
21/05/2026,2026.0,Mai,HAIBIKE,2024.0,409,2199.0,3599,https://rutile.bike/products/haibike-trekking-24
21/05/2026,2026.0,Mai,WINORA,2024.0,837,2499.0,3999,https://rutile.bike/products/winora-sinus-r8
21/05/2026,2026.0,Mai,VICTORIA,2022.0,586,2999.0,4799,https://rutile.bike/products/victoria-eparcours-12-8
21/05/2026,2026.0,Mai,MERIDA,2024.0,1395,2099.0,3299,https://rutile.bike/products/merida-espresso-city-400-eq
21/05/2026,2026.0,Mai,HAIBIKE,2024.0,1,1899.0,2899,https://rutile.bike/products/haibike-trekking-3-high-i500wh-9g-alivio23
21/05/2026,2026.0,Mai,MOUSTACHE,2025.0,343,1299.0,1999,https://rutile.bike/products/moustache-samedi-28-1-open-m
21/05/2026,2026.0,Mai,CONWAY,2023.0,0,2299.0,3499,https://rutile.bike/products/conway-cairon-c-2-0-noir-m-2
21/05/2026,2026.0,Mai,PEGASUS,2025.0,246,2899.0,4499,https://rutile.bike/products/pegasus-strong-evo-5r
21/05/2026,2026.0,Mai,CANNONDALE,2024.0,2892,3499.0,5899,https://rutile.bike/products/cannondale-moterra-neo-eq
21/05/2026,2026.0,Mai,CONWAY,2024.0,226,1699.0,2599,https://rutile.bike/products/conway-cairon-c-1-0
21/05/2026,2026.0,Mai,LAPIERRE,2025.0,0,1999.0,2999,https://rutile.bike/products/lapierre-e-explorer-5-5-high-xs-1
