Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien
25/05/2026,2026.0,Mai,FOCUS,2026.0,865,4999.0,8999,https://rutile.bike/products/focus-jam-sl-9-9-29di-m42-f-car
25/05/2026,2026.0,Mai,FOCUS,2026.0,2016,3499.0,5799,https://rutile.bike/products/focus-thron-6-8-29di-l45-gre2
25/05/2026,2026.0,Mai,FOCUS,2026.0,31,4399.0,6699,https://rutile.bike/products/focus-jam-6-9-29di-xl46-f-blk2
25/05/2026,2026.0,Mai,HAIBIKE,2023.0,318,3799.0,6299,https://rutile.bike/products/haibike-allmtn8
25/05/2026,2026.0,Mai,FOCUS,2025.0,0,4999.0,8999,https://rutile.bike/products/focus-jam-sl-9-9-29di-s39-f-car
25/05/2026,2026.0,Mai,MOUSTACHE,2023.0,976,4499.0,7699,https://rutile.bike/products/moustache-e-bike-trail-11-xl
25/05/2026,2026.0,Mai,FOCUS,2026.0,98,3799.0,6899,https://rutile.bike/products/focus-vam-sl-9-8-29di-xl46-f-wht
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3199.0,4999,https://rutile.bike/products/focus-thron-6-7-29di-xl48-f-blg2
25/05/2026,2026.0,Mai,LAPIERRE,2024.0,1,3399.0,5599,https://rutile.bike/products/lapierre-overvolt-tr-6-7-47l
25/05/2026,2026.0,Mai,SCOTT,2024.0,1430,4199.0,6999,https://rutile.bike/products/scott-lumen-eride-910
25/05/2026,2026.0,Mai,KTM,2022.0,1633,3499.0,6299,https://rutile.bike/products/ktm-macina-chacana-791
25/05/2026,2026.0,Mai,BULLS,2024.0,15,2799.0,4599,https://rutile.bike/products/bulls-copperhead-evo-am1
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3499.0,5499,https://rutile.bike/products/focus-jam-6-7-l-copie
25/05/2026,2026.0,Mai,LAPIERRE,2024.0,354,3499.0,8699,https://rutile.bike/products/lapierre-e-zesty-am-ltd-43l-moon-white
25/05/2026,2026.0,Mai,FOCUS,2023.0,2,5199.0,7999,https://rutile.bike/products/focus-jam-6-0-29di-m42-f-sil2
25/05/2026,2026.0,Mai,FOCUS,2026.0,91,3799.0,6899,https://rutile.bike/products/focus-vam-sl-9-8-29di-m42-f-wht-1
25/05/2026,2026.0,Mai,FOCUS,2026.0,16,4799.0,7999,https://rutile.bike/products/focus-sam-6-9-29di-xl46-f-gry2
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3699.0,6099,https://rutile.bike/products/focus-thron-6-9-s-1
25/05/2026,2026.0,Mai,FOCUS,2026.0,114,3799.0,6899,https://rutile.bike/products/focus-vam-sl-9-8-29di-l44-f-wht
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3699.0,6099,https://rutile.bike/products/focus-thron-6-9-29di-s39-f-wht-3
25/05/2026,2026.0,Mai,FOCUS,2026.0,131,3799.0,6899,https://rutile.bike/products/focus-vam-sl-9-8-29di-m42-f-wht
25/05/2026,2026.0,Mai,FOCUS,2026.0,88,4399.0,6699,https://rutile.bike/products/focus-thron-6-9-abs-29di-m42-f-gry2-2
25/05/2026,2026.0,Mai,FOCUS,2026.0,3,3799.0,6899,https://rutile.bike/products/focus-vam-sl-9-8-29di-xl46-f-wht-1
25/05/2026,2026.0,Mai,FOCUS,2026.0,0,4699.0,7199,https://rutile.bike/products/focus-sam-6-9-mxdi-s39-f-wht2
25/05/2026,2026.0,Mai,FOCUS,2026.0,870,4999.0,8999,https://rutile.bike/products/focus-jam-sl-9-9-29di-l44-f-car
25/05/2026,2026.0,Mai,CONWAY,2024.0,96,3099.0,5199,https://rutile.bike/products/conway-xyron-s-3-12
25/05/2026,2026.0,Mai,HAIBIKE,2023.0,0,4099.0,6799,https://rutile.bike/products/haibike-hybe-9-i750wh-12-g-slx-brl-ma-gl_g
25/05/2026,2026.0,Mai,FOCUS,2026.0,56,3799.0,6899,https://rutile.bike/products/focus-vam-sl-9-8-29di-l44-f-wht-1
25/05/2026,2026.0,Mai,FOCUS,2026.0,695,3499.0,4999,https://rutile.bike/products/focus-planet-6-8-abs-29wa-s40-f-gry2
25/05/2026,2026.0,Mai,HAIBIKE,2024.0,47,3999.0,6599,https://rutile.bike/products/haibike-allmtn-7-velo-tout-suspendu-haut-de-gamme
25/05/2026,2026.0,Mai,FOCUS,2026.0,598,5299.0,8699,https://rutile.bike/products/focus-vam-sl-9-9-29di-m42-f-car
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3499.0,5499,https://rutile.bike/products/focus-jam-6-7-29di-xl46-f-gre2
25/05/2026,2026.0,Mai,FOCUS,2026.0,0,2099.0,2999,https://rutile.bike/products/focus-aventura-6-7-29di-m42-f-blu2
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3499.0,5499,https://rutile.bike/products/focus-jam-6-7-l-3
25/05/2026,2026.0,Mai,CARVER,2025.0,770,2499.0,4199,https://rutile.bike/products/carver-drift-e-510
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3199.0,4999,https://rutile.bike/products/focus-thron-6-7-29di-xl48-f-blg2-3
25/05/2026,2026.0,Mai,CONWAY,2024.0,0,3599.0,5999,https://rutile.bike/products/conway-ryvon-st-4-4
25/05/2026,2026.0,Mai,FOCUS,2026.0,275,3899.0,6499,https://rutile.bike/products/focus-jam-7-9-29di-l45-f-gry
25/05/2026,2026.0,Mai,HAIBIKE,2026.0,2,2899.0,5399,https://rutile.bike/products/haibike-allmtn-2-i720-12-g-sx-eagle22-yx3s-aqua_green-l
25/05/2026,2026.0,Mai,CENTURION,2024.0,144,3499.0,5799,https://rutile.bike/products/centurion-no-pogo-r2700i
25/05/2026,2026.0,Mai,FOCUS,2026.0,0,2299.0,3199,https://rutile.bike/products/focus-aventura-6-7-29di-l46-f-sil2-1
25/05/2026,2026.0,Mai,FOCUS,2026.0,220,4399.0,6699,https://rutile.bike/products/focus-thron-6-9-abs-29di-m42-f-gry2
25/05/2026,2026.0,Mai,FOCUS,2026.0,837,3899.0,6499,https://rutile.bike/products/focus-jam-6-8-29di-l44-f-blu2
25/05/2026,2026.0,Mai,FOCUS,2023.0,394,3299.0,5849,https://rutile.bike/products/focus-jam2-7-8-vtt-electrique-tout-suspendu
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3699.0,6099,https://rutile.bike/products/focus-thron-6-9-s
25/05/2026,2026.0,Mai,FOCUS,2024.0,0,3499.0,5499,https://rutile.bike/products/focus-jam-6-7-xl
25/05/2026,2026.0,Mai,FOCUS,2026.0,0,4199.0,6999,https://rutile.bike/products/focus-jam-sl-8-8-29di-m42-f-lim
25/05/2026,2026.0,Mai,LAPIERRE,2024.0,427,3999.0,8699,https://rutile.bike/products/lapierre-e-zesty-am-ltd-1
