Date_Scan,Marque,Année,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien
02/05/2026,Cube,2025,319,2799,4099,https://rebike.fr/collections/vtc-electrique
02/05/2026,Kalkhoff,2023,4607,2369,4499,https://rebike.fr/collections/vtc-electrique
02/05/2026,Pegasus,2022,2875,1799,3719,https://rebike.fr/collections/vtc-electrique
02/05/2026,Advanced,2022,1334,2299,4799,https://rebike.fr/collections/vtc-electrique
02/05/2026,Cube,2023,1362,2459,3699,https://rebike.fr/collections/vtc-electrique
02/05/2026,Cube,2022,2195,2599,4199,https://rebike.fr/collections/vtc-electrique
02/05/2026,Ktm,2023,2933,2499,4599,https://rebike.fr/collections/vtc-electrique
02/05/2026,Haibike,2021,4217,1599,2999,https://rebike.fr/collections/vtc-electrique
02/05/2026,Focus,2023,0,2749,4999,https://rebike.fr/collections/vtc-electrique
02/05/2026,Bulls,2023,265,2119,3799,https://rebike.fr/collections/vtc-electrique
02/05/2026,Conway,2023,6925,1669,3387,https://rebike.fr/collections/vtc-electrique
02/05/2026,Cube,2023,5579,1889,2849,https://rebike.fr/collections/vtc-electrique
02/05/2026,Giant,2022,6444,1999,4499,https://rebike.fr/collections/vtc-electrique
02/05/2026,Cube,2023,2022,1849,2749,https://rebike.fr/collections/vtc-electrique
02/05/2026,Ktm,2023,5,2129,4099,https://rebike.fr/collections/vtc-electrique
02/05/2026,Cube,2022,4015,2469,4399,https://rebike.fr/collections/vtc-electrique
02/05/2026,Bulls,2020,482,1899,4701,https://rebike.fr/collections/vtc-electrique
02/05/2026,Pegasus,2022,954,1599,3265,https://rebike.fr/collections/vtc-electrique
02/05/2026,Pegasus,2023,934,2469,4589,https://rebike.fr/collections/vtc-electrique
02/05/2026,Winora,2021,10165,1699,4199,https://rebike.fr/collections/vtc-electrique
02/05/2026,Corratec,2024,0,2359,4299,https://rebike.fr/collections/vtc-electrique
02/05/2026,Pegasus,2022,4560,2119,4154,https://rebike.fr/collections/vtc-electrique
