Marque,Nb de vente totale,CA total,Frais Totaux,Marge Totale,Somme Jours,Km Moyen,CA Moyen,Marge Moyenne,Frais Moyens,%Marge,Délai de vente moyen
BERGAMONT,1,1945.83,166.2,599.63,4,2407.0,1945.83,599.63,166.2,30.82%,4.0
CANNONDALE,1,3293.0,89.6,190.4,55,1077.0,3293.0,190.4,89.6,5.78%,55.0
CONWAY,2,4816.66,0.0,699.7,0,0.0,2408.33,349.85,0.0,14.53%,0.0
CUBE,4,9793.16,403.3,1697.53,161,1901.0,2448.29,424.38,100.82,17.33%,40.0
DECATHLON,1,1667.17,148.7,510.47,5,6054.0,1667.17,510.47,148.7,30.62%,5.0
FANTIC,7,14005.84,65.8,-2645.97,626,35.0,2000.83,-378.0,9.4,-18.89%,89.0
FOCUS,3,6380.0,107.64,894.03,68,943.0,2126.67,298.01,35.88,14.01%,23.0
GIANT,1,2832.5,119.21,213.29,56,1130.0,2832.5,213.29,119.21,7.53%,56.0
HAIBIKE,4,4636.17,51.23,849.17,212,409.0,1159.04,212.29,12.81,18.32%,53.0
HAIBIKE ,1,1000.0,167.31,-333.14,133,1023.0,1000.0,-333.14,167.31,-33.31%,133.0
LAPIERRE,3,6497.17,213.14,1291.03,39,833.0,2165.72,430.34,71.05,19.87%,13.0
MARIN,7,9961.66,0.0,1133.21,323,56.0,1423.09,161.89,0.0,11.38%,46.0
MOUSTACHE,2,4865.83,459.98,705.8499999999999,128,2830.0,2432.92,352.92,229.99,14.51%,64.0
NEOMOUV,1,388.33,0.0,88.33,6,575.0,388.33,88.33,0.0,22.75%,6.0
O2 FEEL,2,1525.0,17.78,144.84,176,1900.0,762.5,72.42,8.89,9.5%,88.0
O2FEEL,2,2223.33,174.13,302.0,103,2712.0,1111.66,151.0,87.06,13.58%,52.0
ORBEA,2,5008.83,343.66,612.17,84,3412.0,2504.42,306.08,171.83,12.22%,42.0
ROTWILD,1,1999.0,177.23,-678.23,166,1974.0,1999.0,-678.23,177.23,-33.93%,166.0
MARIN,3,3330.83,0.0,582.08,79,2.0,1110.28,194.03,0.0,17.48%,26.0
CANNONDALE,1,2392.67,126.99,654.68,7,1350.0,2392.67,654.68,126.99,27.36%,7.0
CONWAY,2,2998.33,0.0,931.05,17,0.0,1499.16,465.52,0.0,31.05%,8.0
FOCUS,1,2416.67,0.0,332.57,17,0.0,2416.67,332.57,0.0,13.76%,17.0
KTM,1,2333.33,0.0,512.33,5,0.0,2333.33,512.33,0.0,21.96%,5.0
O2FEEL,1,1065.83,5.4,160.43,24,1243.0,1065.83,160.43,5.4,15.05%,24.0
CONWAY,1,1332.5,0.0,399.03,23,0.0,1332.5,399.03,0.0,29.95%,23.0
DECATHLON,1,999.17,0.0,254.99,7,440.0,999.17,254.99,0.0,25.52%,7.0
KTM,2,4831.66,0.0,1189.66,12,0.0,2415.83,594.83,0.0,24.62%,6.0
MARIN,3,2247.5,0.0,493.73,53,0.0,749.17,164.58,0.0,21.97%,18.0
