Date_Vente,Marque,Modèle,Année,Km,Prix Vente TTC,Prix Neuf Est.,Jours en Stock,Facture
23/09/2025,MARIN,,2024,0.0,1680.0,2599.0,0,1000028
31/03/2026,MARIN,,2025,0.0,899.0,999.0,4,1000081
17/04/2026,MARIN,,2025,0.0,829.0,1099.0,7,1000090
29/04/2026,MARIN,"GESTALT 700C GLOSS BLUE, 56",2025,0.0,799.0,1099.0,5,1000096
29/04/2026,MARIN,"GESTALT 700C GLOSS BLUE, 54",2025,0.0,799.0,1099.0,19,1000097
21/05/2026,MARIN,"NICASIO + 650B TEAL, 54",2026,0.0,999.0,1099.0,2,1000111
21/05/2026,MARIN,"GESTALT 1 700C WHITE, 54",2025,0.0,899.0,1399.0,41,1000112
29/05/2026,MARIN,"GESTALT 700C GLOSS BLACK, 56",2025,0.0,799.0,1099.0,10,1000117
05/06/2026,MARIN,"GESTALT 1 700C WHITE, 56",2025,0,899.0,1399.0,56,1000119
08/06/2026,GIANT,GIANT STANCE 2,2020,0,872.0,2199.0,5,1000123
