Date_Vente,Marque,Modèle,Année,Km,Prix Vente (€),Prix Neuf (€).,Jours en Stock,Facture
12/06/2025,FOCUS,None,2020,2780.0,1999.0,4399.0,13,1000006
01/07/2025,FANTIC,None,2025,0.0,3299.0,5699.0,53,1000014
01/07/2025,FANTIC,None,2025,0.0,3099.0,5399.0,12,1000015
03/07/2025,CANNONDALE,None,2024,1077.0,3349.0,6599.0,55,1000016
17/07/2025,FANTIC,None,2024,0.0,1624.0,4799.0,69,1000017
17/07/2025,FANTIC,None,2025,0.0,1638.0,4799.0,69,1000018
01/08/2025,FANTIC,None,2025,50.0,2699.0,4499.0,43,1000024
05/09/2025,ORBEA,None,2022,896.0,3200.0,5699.0,43,1000025
25/09/2025,MOUSTACHE,None,2022,4174.0,2799.0,6599.0,105,1000030
21/10/2025,FANTIC,None,2025,58.0,2499.0,5299.0,165,1000038
28/10/2025,LAPIERRE,None,2020,1549.0,1799.0,3999.0,18,1000043
04/11/2025,CUBE,None,2022,2558.0,2600.0,5499.0,60,1000045
01/12/2025,HAIBIKE ,None,2021,1023.0,1200.0,3299.0,133,1000053
03/12/2025,CUBE,None,2022,2558.0,2599.0,5499.0,89,1000054
10/12/2025,FANTIC,None,2024,136.0,1949.0,5299.0,215,1000056
15/12/2025,MARIN,None,2024,391.0,1849.0,3999.0,213,1000057
07/01/2026,ROTWILD,None,2022,1974.0,1999.0,7999.0,166,1000062
13/01/2026,HAIBIKE,None,2021,320.0,1199.0,3299.0,176,1000063
15/01/2026,MOUSTACHE,None,2021,1487.0,2300.0,5499.0,23,1000064
16/01/2026,O2FEEL,None,2019,4182.0,1249.0,3999.0,70,1000065
20/01/2026,DECATHLON,None,2024,6054,1799.0,4199.0,5,1000066
26/01/2026,HAIBIKE,None,2026,41.0,2599.0,4999.0,6,1000067
11/02/2026,MARIN,None,2024,0.0,2149.0,4999.0,54,1000069
12/02/2026,MARIN,None,2024,0.0,1849.0,4499.0,28,1000070
12/02/2026,GIANT,None,2022,1130.0,2899.0,7800.0,56,1000071
13/02/2026,CUBE,None,2023,2488.0,2849.0,6099.0,8,1000072
18/02/2026,HAIBIKE,None,2021,638.0,1199.0,3399.0,29,1000074
18/02/2026,O2FEEL,None,2021,1243.0,1099.0,3199.0,33,1000073
02/03/2026,BERGAMONT,None,2022,2407.0,2099.0,4999.0,4,1000076
05/03/2026,CUBE,None,2023,0.0,2500.0,5299.0,4,1000077
13/03/2026,MARIN,None,2025,0.0,2699.0,5499.0,17,1000078
30/03/2026,FOCUS,None,2024,50.0,2449.0,5499.0,23,1000080
31/03/2026,ORBEA,None,2021,5929.0,2000.0,7299.0,41,1000082
08/04/2026,LAPIERRE,None,2024,945.0,3300.0,7399.0,14,1000086
10/04/2026,FOCUS,None,2024,0.0,2499.0,5499.0,32,1000087
17/04/2026,CONWAY,None,2026,0.0,2890.0,3999.0,0,1000092
17/04/2026,CONWAY,None,2026,0.0,2890.0,3999.0,0,1000091
18/04/2026,HAIBIKE,None,2021,638.0,1008.0,3299.0,1,1000093
